AI_1,route_points_1,tickets_points_1,ticket_deductions_1,draws_1,connects_1,cars_left_1,AI_2,route_points_2,tickets_points_2,ticket_deductions_2,draws_2,connects_2,cars_left_2
CFRandom,81,17,22,66,9,6,CFBase,75,43,0,53,13,1
CFRandom,47,0,23,50,9,15,CFBase,76,32,0,44,11,3
CFRandom,67,14,0,54,12,7,CFBase,85,29,0,52,12,0
CFRandom,92,33,0,76,10,1,CFBase,54,31,0,60,15,6
CFRandom,92,0,20,80,10,1,CFBase,14,0,37,87,5,34
CFRandom,92,0,15,76,10,1,CFBase,14,0,25,84,5,34
CFRandom,92,0,20,94,10,1,CFBase,14,0,14,101,5,34
CFRandom,92,0,28,72,10,1,CFBase,14,12,7,79,5,34
CFRandom,92,0,25,74,10,1,CFBase,14,0,16,82,5,34
CFRandom,92,20,11,94,10,1,CFBase,14,0,39,102,5,34
CFRandom,92,0,22,98,10,1,CFBase,14,0,24,106,5,34
CFRandom,92,20,12,74,10,1,CFBase,14,0,30,81,5,34
CFRandom,92,20,17,78,10,1,CFBase,14,0,30,86,5,34
CFRandom,92,0,23,82,10,1,CFBase,14,0,16,89,5,34
CFRandom,92,0,20,70,10,1,CFBase,14,0,17,78,5,34
CFRandom,92,0,25,86,10,1,CFBase,14,0,14,94,5,34
CFRandom,92,0,20,58,10,1,CFBase,14,0,17,66,5,34
CFRandom,92,13,10,116,10,1,CFBase,14,0,15,123,5,34
CFRandom,92,0,15,78,10,1,CFBase,14,0,28,86,5,34
CFRandom,92,20,11,78,10,1,CFBase,14,0,33,84,5,34
